Title,Original Title,Other Titles,Rating,Rating People
70,音乐之声,The Sound of Music,"仙乐飘飘处处闻(港), 真善美(台)",9.1,655949
71,西西里的美丽传说,Malèna,"真爱伴我行(台), 玛莲娜",8.9,1054890
72,阿凡达,Avatar,,8.8,1520736
73,功夫,N/A,"功夫3D, Kung Fu Hustle",8.9,1266319
74,看不见的客人,Contratiempo,"死无对证(港), 布局(台)",8.8,1383724
75,哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,"哈利波特3：阿兹卡班的逃犯(港, 台) ",9.0,843529
76,拯救大兵瑞恩,Saving Private Ryan,"雷霆救兵(港), 抢救雷恩大兵(台)",9.1,697509
77,小鞋子,بچه های آسمان,"天堂的孩子, 小童鞋",9.2,445406
78,沉默的羔羊,The Silence of the Lambs,沉默的羔羊,8.9,973537
79,飞越疯人院,One Flew Over the Cuckoo's Nest,"飞越杜鹃窝(台), 飞越喜鹊巢",9.1,584035
80,布达佩斯大饭店,The Grand Budapest Hotel,"布达佩斯大酒店(港), 欢迎来到布达佩斯大饭店(台)",8.9,1035929
81,蝴蝶效应,The Butterfly Effect,蝴蝶效应,8.9,1021827
82,禁闭岛,Shutter Island,"不赦岛(港), 隔离岛(台)",8.9,1066323
83,致命魔术,The Prestige,"死亡魔法(港), 顶尖对决(台)",8.9,929471
84,心灵捕手,Good Will Hunting,"骄阳似我(港), 心灵捕手",9.0,784223
85,低俗小说,Pulp Fiction,"危险人物(港), 黑色追缉令(台)",8.9,915766
86,超脱,Detachment,人间师格(台),9.0,684422
87,摩登时代,Modern Times,"The Masses, Les Temps modernes",9.3,330752
88,哈利·波特与密室,Harry Potter and the Chamber of Secrets,"哈利波特2：消失的密室(港, 台) ",8.9,869114
89,喜剧之王,喜劇之王,King of Comedy,8.8,1047814
90,致命ID,Identity,"杀人游戏, 致命身份",8.9,905321
91,春光乍泄,春光乍洩,"一起快乐, Happy Together",9.0,684032
92,杀人回忆,살인의 추억,"谋杀回忆, 杀手回忆录",8.9,795417
93,海豚湾,The Cove,"血色海湾(台), 海湾",9.3,374151
94,美国往事,Once Upon a Time in America,"四海兄弟(台), 义薄云天(港)",9.1,451724
95,一一,N/A,"Yi yi, Yi yi: A One and a Two",9.1,460349
96,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,"加勒比海盗1：黑珍珠号的诅咒, 神鬼奇航：鬼盗船魔咒(台)",8.8,930041
97,红辣椒,パプリカ,"盗梦侦探(港, 台) ",9.0,533926
98,七宗罪,Se7en,"火线追缉令(台), 7宗罪",8.8,1015183
99,唐伯虎点秋香,唐伯虎點秋香,Flirting Scholar,8.7,1175361
100,狩猎,Jagten,"诬网(港), 谎言的烙印(台)",9.1,442932
101,7号房的礼物,7번방의 선물,"戆爸的礼物(港), 7号囚房的礼物",8.9,601372
102,甜蜜蜜,N/A,Comrades: Almost a Love Story,8.9,635162
103,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,"蝙蝠侠前传3：黑暗骑士崛起, 黑暗骑士：黎明升起(台)",8.9,782810
104,寄生虫,기생충,"寄生上流(台), 上流寄生族(港)",8.8,1486833
105,被嫌弃的松子的一生,嫌われ松子の一生,"花样奇缘(港), 令人讨厌的松子的一生(台)",8.8,750390
106,超能陆战队,Big Hero 6,"大英雄联盟(港), 大英雄天团(台)",8.8,1102015
107,天书奇谭,N/A,"天书奇谭4K纪念版, The Legend of Sealed Book",9.2,310159
108,爱在黎明破晓前,Before Sunrise,"情留半天(港), 爱在黎明破晓时(台)",8.8,758384
109,第六感,The Sixth Sense,"鬼眼(港), 灵异第六感(台)",8.9,609358
110,重庆森林,重慶森林,Chungking Express,8.8,886123
111,爱在日落黄昏时,Before Sunset,"日落巴黎(港), 爱在日落巴黎时(台)",8.9,621480
112,幽灵公主,もののけ姫,"魔法公主(港), 魔法公主(台)",8.9,569457
113,入殓师,おくりびと,"礼仪师之奏鸣曲(港), 礼仪师(台)",8.9,722276
